Name,Price,Reviews,Popularity,Developer,Genres,Critics score,OS,Processor,Memory,Graphics,DirectX,Network,Storage
Trine 3: The Artifacts of Power,469,Mixed,25,Frozenbyte,"Action, Adventure, Indie",,"['Windows10', 'Windows8', 'Windows7', 'WindowsVista']"," Intel Core i3,i5,i7 1.8 GHz CPU dual-core. AMD 2.0 GHz dual-core.", 4 GB RAM," NVIDIA GeForce 260 , Radeon HD 4000 Series , Intel HD Graphics 4000", Version 10, Broadband Internet connection, 6 GB available space
Autonauts vs Piratebots,999,Very Positive,268,Denki,"Casual, Indie, Simulation, Strategy",,['Windows7'], Intel Core i5-6600K (4 * 3500), 8 GB RAM, GeForce GTX 750 (2048 MB),,, 1 GB available space
Terminus: Zombie Survivors,374,Very Positive,47,신인건,"Adventure, Indie, RPG, Strategy, Early Access",,['Windows7'], 2.5 GHz, 2 GB RAM," GeForce 6600 GT , Ati Radeon 9800XT",,, 500 MB available space
Bomber Crew: USAAF,359,Mixed,263,Runner Duck,"Simulation, Strategy",,"['Windows7', 'Windows8', 'Windows10']", Intel Core i3-530 (4 * 3000), 2 GB RAM, Geforce 9800 GT (1024 MB),,, 500 MB available space
A.I.M.2 Clan Wars,125,Very Positive,368,SkyRiver Studios,"Action, RPG, Simulation",,[]," 1,5 GHz", 256 MB RAM, nVidia GeForce3, Version 9.0c,, 3 GB available space
Hunt: Showdown - The Committed,175,Very Positive,192,Crytek,Action,,['Windows10'], Intel i5-4590 @ 3.3GHz (4th Generation), 8 MB RAM, Graphics: NVIDIA GeForce GTX 660 TI, Version 11, Broadband Internet connection, 20 GB available space
Doki Doki Literature Club Plus! Soundtrack,259,Very Positive,84,Team Salvato,,,,,,,,, 110 MB available space
Cities: Skylines - Snowfall,490,Mixed,788,Colossal Order Ltd.,"Simulation, Strategy",72,"['Windows7', 'Windows8', 'Windows10']", Intel® Core™ I7 930  |  AMD® FX 6350, 8 GB RAM, Nvidia® GeForce™ GTS 450 (1 GB) |  AMD® R7 250 (2 GB)  |  Intel Iris Xe G7 (Tiger Lake),,, 4 GB available space
The Red Lantern,465,Very Positive,143,Timberline Studio,"Adventure, Casual, Indie, RPG",,['Windows7'], Dual Core 2.5 GHz, 4 GB RAM, Nvidia 9600GT, Version 10,, 4 GB available space
Cities: Skylines - Mass Transit,490,Very Positive,840,Colossal Order Ltd.,"Simulation, Strategy",78,"['Windows7', 'Windows8', 'Windows10']", Intel® Core™ I7 930  |  AMD® FX 6350, 8 GB RAM, Nvidia® GeForce™ GTS 450 (1 GB) |  AMD® R7 250 (2 GB)  |  Intel Iris Xe G7 (Tiger Lake), Version 9.0c, Broadband Internet connection, 4 GB available space
Zero Hour,289,Mostly Positive,163,"M7 Productions, Attrito","Action, Simulation, Strategy, Early Access",,"['Windows7', 'Windows8', 'Windows10']", Intel Core i3-7100, 6 GB RAM, Nvidia Geforce GTX 750TI 2GB, Version 11, Broadband Internet connection, 25 GB available space
Nightmare of Decay,133,Very Positive,62,Checkmaty,"Action, Adventure, Indie",,['Windows7'], Dual Core 2ghz, 2 GB RAM, DirectX 10 Compatible graphics, Version 10,, 1 GB available space
Insurgency: Sandstorm - Urban Digital Weapon Skin Set,119,Mixed,131,New World Interactive,Action,,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i5-4440 (3.10GHz),AMD FX-6300 (3.50GHz)", 8 GB RAM," NVIDIA GeForce GTX 760,AMD Radeon HD 7970", Version 11,, 40 GB available space
Tribes of Midgard - Deluxe Content,250,Mostly Positive,34,Norsfell,"Action, Adventure, Indie",,['Windows7'], Intel Quad Core i5-2300, 8 GB RAM, Nvidia GeForce GTX 560 (1GB), Version 11,, 8 GB available space
Angel Legion,0,Very Positive,264,Shanghai SilverMoon Network Technology Co.Ltd,"Adventure, Free to Play, RPG, Strategy",,[], Intel Core-i3, 1 GB RAM,,, Broadband Internet connection, 4 GB available space
Insurgency: Sandstorm - S.O.R.T. Gear Set,129,Positive,43,New World Interactive,Action,,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i5-4440 (3.10GHz),AMD FX-6300 (3.50GHz)", 8 GB RAM," NVIDIA GeForce GTX 760,AMD Radeon HD 7970", Version 11,, 40 GB available space
Euro Truck Simulator 2 - Pirate Paint Jobs Pack,79,Very Positive,178,SCS Software,"Indie, Simulation",,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
Solasta: Crown of the Magister - Inner Strength,195,Mostly Positive,48,Tactical Adventures,"Adventure, Indie, RPG, Strategy",,"['Windows7', 'Windows8', 'Windows10']"," AMD FX 4300 , Intel Core i5-3570K", 8 GB RAM," Radeon R9 285 , GeForce GTX 950", Version 11,, 15 GB available space
Friday the 13th: The Game - Spring Break 1984 Clothing Pack,61,Very Positive,443,IllFonic,Action,,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i3-530 (2 * 2930), AMD Athlon II X2 270 (2 * 3400)", 4096 MB RAM," GeForce GTX 650 Ti (1024 MB), Radeon HD 7770 (1024 MB)", Version 11, Broadband Internet connection, 4 GB available space
