Name,Price,Reviews,Popularity,Developer,Genres,Critics score,OS,Processor,Memory,Graphics,DirectX,Network,Storage
Counter-Strike: Global Offensive,0,Very Positive,135085,"Valve, Hidden Path Entertainment","Action, Free to Play",83,"['Windows7', 'WindowsVista', 'WindowsXP']", Intel® Core™ 2 Duo E6600, 2 GB RAM, Video card must be 256 MB, Version 9.0c,, 15 GB available space
Team Fortress 2,0,Very Positive,7506,Valve,"Action, Free to Play",92,"['Windows7', 'WindowsVista', 'WindowsXP']", 1.7 GHz Processor, 512 MB RAM,, Version 8.1, Broadband Internet connection, 15 GB available space
Dota 2,0,Mostly Positive,19835,Valve,"Action, Free to Play, Strategy",90,['Windows7'], Dual core from Intel, 4 GB RAM," NVIDIA GeForce 8600,9600GT, ATI,AMD Radeon HD2600,3600", Version 11, Broadband Internet connection, 60 GB available space
Rust,1100,Very Positive,10661,Facepunch Studios,"Action, Adventure, Indie, Massively Multiplayer, RPG",69,['Windows8']," Intel Core i7-3770 , AMD FX-9590", 10 GB RAM," GTX 670 2GB , AMD R9 280 better", Version 11, Broadband Internet connection, 25 GB available space
Euro Truck Simulator 2,949,Overwhelmingly Positive,7246,SCS Software,"Indie, Simulation",79,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
Hunt: Showdown,1349,Very Positive,2566,Crytek,Action,81,['Windows10'], Intel i5-4590 @ 3.3GHz (4th Generation), 8 GB RAM, NVIDIA GeForce GTX 660 TI, Version 11, Broadband Internet connection, 36 GB available space
No Man's Sky,1900,Very Positive,1493,Hello Games,"Action, Adventure",61,['Windows10'], Intel Core i3, 8 GB RAM," Nvidia GTX 1060 3GB, AMD RX 470 4GB, Intel UHD graphics 630",,, 15 GB available space
Path of Exile,0,Very Positive,1815,Grinding Gear Games,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG",86,"['Windows7', 'Windows8']", Quad core 2.6GHz x86-compatible, 8 GB RAM, NVIDIA® GeForce® GTX 650 Ti, Version 11, Broadband Internet connection, 40 GB available space
PUBG: BATTLEGROUNDS,0,Mixed,14079,"KRAFTON, Inc.","Action, Adventure, Free to Play, Massively Multiplayer",,['Windows10']," Intel Core i5-4430 , AMD FX-6300", 8 GB RAM," NVIDIA GeForce GTX 960 2GB , AMD Radeon R7 370 2GB", Version 11, Broadband Internet connection, 40 GB available space
Phasmophobia,309,Overwhelmingly Positive,7634,Kinetic Games,"Action, Indie, Early Access",,['Windows10']," Intel Core i5-4590 , AMD Ryzen 5 2600", 8 GB RAM," NVIDIA GTX 970 , AMD Radeon R9 390", Version 11, Broadband Internet connection, 21 GB available space
EVERSPACE™ 2,1600,Very Positive,244,ROCKFISH Games,"Action, Adventure, RPG, Simulation",83,['Windows10'], Intel Core i5-2500K@2.9GHz, 8 GB RAM, Nvidia GeForce GTX 970 (4 GB), Version 11,, 35 GB available space
Sons Of The Forest,1100,Very Positive,24457,Endnight Games Ltd,"Action, Adventure, Indie, Simulation, Early Access",,['Windows10'], INTEL CORE I5-8400, 12 GB RAM, NVIDIA GeForce GTX 1060 3GB, Version 11,, 20 GB available space
Thief Simulator,710,Very Positive,456,Noble Muffins,"Action, Adventure, Indie, Simulation",,['Windows7'], Intel Core i5, 8 GB RAM, NVidia GeForce GTX 750, Version 10,, 5 GB available space
DayZ,1199,Very Positive,2922,Bohemia Interactive,"Action, Adventure, Massively Multiplayer",,"['Windows7', 'Windows8']", Intel Core i5-4430, 8 GB RAM, NVIDIA GeForce GTX 760, Version 11,, 25 GB available space
Ravenswatch,710,Mixed,1116,Passtech Games,"Action, Adventure, Early Access",,['Windows10']," Intel Core i5-4670K (4 * 3400) , AMD FX-8350 (4 * 4000)", 8 GB RAM," GeForce GTX 660 (2048 MB) , Radeon HD 7870 (2048 MB)", Version 12,, 3 GB available space
Demonologist,600,Very Positive,1964,Clock Wizard Games,"Action, Adventure, Indie, Early Access",,['Windows10'], Intel i5,, NVIDIA GeForce GTX 1050 4GB, Version 11, Broadband Internet connection, 14 GB available space
Escape the Backrooms,259,Very Positive,2735,Fancy Games,"Indie, Early Access",,"['Windows8', 'Windows10']", Intel Core i3, 8 GB RAM, NVIDIA GeForce GTX 650, Version 11,, 10 GB available space
Remnant: From the Ashes,1297,Very Positive,421,Gunfire Games,"Action, Adventure, RPG",78,"['Windows7', 'Windows8', 'Windows10']", Intel Core i3-7350K (4.20 GHz), 8 GB RAM, AMD Radeon RX 470, Version 11,,
Black Desert,350,Mostly Positive,532,Pearl Abyss,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",73,['Windows10'], Intel Core i3-530 2.9 GHz, 4 GB RAM," GTS 250, GeForce 9800 GTX, Radeon HD 3870 X2",, Broadband Internet connection, 39 GB available space
Crusader Kings III,1600,Very Positive,719,Paradox Development Studio,"RPG, Simulation, Strategy",91,"['Windows8', 'Windows10']"," Intel® Core™ i3-2120 , AMD® FX 6350", 6 GB RAM," Nvidia® GeForce™ GTX 660 (2GB) , AMD® Radeon™ HD 7870 (2GB) , Intel® Iris Pro™ 580 , Intel® Iris® Plus G7 , AMD® Radeon™ Vega 11",,, 8 GB available space
Tower of Fantasy,0,Mixed,485,Hotta Studio,"Action, Free to Play, Massively Multiplayer, RPG",,['Windows7'], Intel Core i5, 8 GB RAM, NVIDIA GeForce GT 1030, Version 11, Broadband Internet connection, 25 GB available space
Darkest Dungeon®,880,Very Positive,1126,Red Hook Studios,"Indie, RPG, Strategy",84,['WindowsXP'],, 2 GB RAM, Open GL 3.2+ Compliant,,, 2 GB available space
Insurgency: Sandstorm,1099,Mostly Positive,1016,New World Interactive,Action,78,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i5-4440 (3.10GHz),AMD FX-6300 (3.50GHz)", 8 GB RAM," NVIDIA GeForce GTX 760,AMD Radeon HD 7970", Version 11,, 40 GB available space
Wallpaper Engine,249,Overwhelmingly Positive,11008,Wallpaper Engine Team,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",,['Windows7'], 1.66 GHz Intel i5, 1024 MB RAM, HD Graphics 4000, Version 10,, 512 MB available space
EVE Online,0,Mixed,341,CCP,"Action, Free to Play, Massively Multiplayer, RPG, Strategy",88,['Windows7']," Intel Dual Core @ 2.0 GHz, AMD Dual Core @ 2.0 GHz)", 4 GB or higher,,, ADSL connection (or faster),
ELDEN RING,3999,Very Positive,9116,FromSoftware Inc.,"Action, RPG",94,['Windows10'], INTEL CORE I5-8400, 12 GB RAM, NVIDIA GEFORCE GTX 1060 3 GB, Version 12,, 60 GB available space
Hunt: Showdown - Shrine Maiden's Hell,385,Mostly Negative,324,Crytek,Action,,['Windows10'], Intel i5-4590 @ 3.3GHz (4th Generation), 8 GB RAM, NVIDIA GeForce GTX 660 TI, Version 11, Broadband Internet connection, 20 GB available space
Warspear Online,0,Mostly Positive,29,AIGRIND,"Free to Play, Massively Multiplayer, RPG",,['WindowsXP'], 1 GHz, 512 MB RAM, OpenGL 1.3-compatible; 128 Mb video memory,, Broadband Internet connection, 100 MB available space
Warface,0,Mixed,488,MY.GAMES,"Action, Adventure, Free to Play, Massively Multiplayer, RPG, Simulation, Strategy",62,"['Windows7', 'Windows8', 'Windows10']"," Core i3-530 , AMD Athlon II X3 415e", 4 GB RAM," GeForce 250 GTS , Radeon HD 4850", Version 10, Broadband Internet connection, 35 GB available space
Baldur's Gate 3,1999,Very Positive,1016,Larian Studios,"Adventure, RPG, Strategy, Early Access",,['Windows10']," Intel I5 4690 , AMD FX 8350", 8 GB RAM," Nvidia GTX 970 , RX 480 (4GB+ of VRAM)", Version 11,, 150 GB available space
Squad,1099,Mostly Positive,1748,Offworld Industries,"Action, Indie, Massively Multiplayer, Strategy",,['Windows10'], Intel Core i, 8 GB RAM, Geforce GTX 770, Version 11, Broadband Internet connection, 80 GB available space
Russian Fishing 4,0,Mostly Positive,688,"FishSoft, LLC","Adventure, Casual, Free to Play, Massively Multiplayer, RPG, Simulation, Sports",,"['Windows7', 'Windows8', 'Windows10']", Intel® i5 3Ghz, 8 GB RAM, GTX 760, Version 11, Broadband Internet connection, 40 GB available space
RimWorld,789,Overwhelmingly Positive,1604,Ludeon Studios,"Indie, Simulation, Strategy",87,['Windows7'], Core 2 Duo, 4 GB RAM, Intel HD Graphics 4000,,, 1 GB available space
Kujlevka,500,Positive,31,Callback,Adventure,,['Windows7'], Intel Core i5, 4 GB RAM, GeForce GTX 650, Version 11,, 3 GB available space
Summoners War: Chronicles,0,Very Positive,5015,Com2uS,"Action, Adventure, Free to Play, Massively Multiplayer, RPG",,[], Intel Core i5 - 6400, 8 GB RAM, Nvidia GTX 960, Version 11, Broadband Internet connection, 10 GB available space
American Truck Simulator,949,Overwhelmingly Positive,1452,SCS Software,"Indie, Simulation",76,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,, 7 GB available space
Crusader Kings III: Tours & Tournaments,1100,No user reviews,,Paradox Development Studio,"RPG, Simulation, Strategy",,"['Windows8', 'Windows10']"," Intel® Core™ i3-2120 , AMD® FX 6350", 6 GB RAM," Nvidia® GeForce™ GTX 660 (2GB) , AMD® Radeon™ HD 7870 (2GB) , Intel® Iris Pro™ 580 , Intel® Iris® Plus G7 , AMD® Radeon™ Vega 11",,, 8 GB available space
Valheim,435,Very Positive,4653,Iron Gate AB,"Action, Adventure, Indie, RPG, Early Access",,['Windows7'], 2.6 GHz Quad Core, 8 GB RAM, GeForce GTX 950, Version 11, Broadband Internet connection, 1 GB available space
CODE VEIN,2099,Mostly Positive,555,Bandai Namco Studios,"Action, RPG",72,"['Windows7', 'Windows10']", Intel Core i5-2300, 6 GB RAM, GeForce GTX 760, Version 11, Broadband Internet connection, 35 GB available space
Raft,419,Very Positive,3040,Redbeet Interactive,"Adventure, Indie, Simulation",,['Windows7'], Intel Core i5 2.6GHz, 6 GB RAM, GeForce GTX 700 series, Version 11, Broadband Internet connection, 10 GB available space
A Plague Tale: Innocence,1599,Very Positive,546,Asobo Studio,"Action, Adventure",81,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i3-2120 (3.3 GHz),AMD FX-4100 X4 (3.6 GHz)", 8 GB RAM," 2 GB, GeForce GTX 660,Radeon HD 7870",,, 50 GB available space
Limbus Company,0,Very Positive,2850,ProjectMoon,"Action, RPG, Strategy",,['Windows10'], Intel Core i5, 8 GB RAM, GeForce GT 1030, Version 10,, 10 GB available space
PAYDAY 2,299,Very Positive,2736,OVERKILL - a Starbreeze Studio.,"Action, RPG",79,['Windows7'], 2 GHz Intel Dual Core Processor, 4 GB RAM, Nvidia &amp; AMD (512MB VRAM), Version 9.0c,, 83 GB available space
Conan Exiles,899,Very Positive,884,Funcom,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",,['Windows10'], Intel Quad Core i5-2300, 6 GB RAM, Nvidia GeForce GTX 560 (1GB), Version 11, Broadband Internet connection, 115 GB available space
SnowRunner,1199,Very Positive,918,Saber Interactive,"Adventure, Simulation",,"['Windows7', 'Windows8', 'Windows10']"," Intel i3-4130 3.4 GHz , AMD Ryzen 3 2200U 3.4 GHz", 8 GB RAM," 2 GB, GeForce GTX 660 , Radeon R9 270",,, 20 GB available space
Terraria,300,Overwhelmingly Positive,13029,Re-Logic,"Action, Adventure, Indie, RPG",83,,,,,,,
SMITE®,0,Mostly Positive,815,Titan Forge Games,"Action, Free to Play",83,['Windows7'], Core 2 Duo 2.4 GHz, 4 GB RAM, Nvidia GeForce 8800 GT,, Broadband Internet connection, 30 GB available space
The Forest,435,Overwhelmingly Positive,6866,Endnight Games Ltd,"Action, Adventure, Indie, Simulation",83,['Windows7'], Intel Dual-Core 2.4 GHz, 4 GB RAM, NVIDIA GeForce 8800GT, Version 9.0,, 5 GB available space
Garry's Mod,750,Overwhelmingly Positive,9237,Facepunch Studios,"Indie, Simulation",,"['WindowsXP', 'WindowsVista']", 2 GHz Processor, 4 GB RAM, 512MB dedicated VRAM, Version 9.0c, Broadband Internet connection, 5 GB available space
BeamNG.drive,465,Overwhelmingly Positive,4962,BeamNG,"Racing, Simulation, Early Access",,['Windows7']," AMD FX 6300 3.5Ghz , Intel Core i3-6300 3.8Ghz", 16 GB RAM," Radeon HD 7750 , Nvidia GeForce GTX 550 Ti", Version 11,, 45 GB available space
Wall World,133,Mostly Positive,405,Alawar Premium,"Action, Adventure, Indie, Strategy",,['Windows7'], Intel Core i5, 4 GB RAM, Nvidia GeForce GTX 650,,, 1 GB available space
Soundpad,133,Overwhelmingly Positive,1567,Leppsoft,"Audio Production, Utilities",,['Windows7'], Intel, 512 MB RAM,,,, 20 MB available space
STALCRAFT,0,Mostly Positive,1843,EXBO,"Action, Adventure, Massively Multiplayer, RPG",,['Windows10']," Intel Core i5-2400 , AMD Athlon II X4", 4 GB RAM," NVIDIA GeForce GTX 580 , AMD Radeon HD 6950", Version 10, Broadband Internet connection, 20 GB available space
Deep Rock Galactic,799,Overwhelmingly Positive,7226,Ghost Ship Games,Action,85,['Windows7']," Intel i5, 3rd gen (or equivalent)", 6 GB RAM, NVIDIA GeForce GTX 660, Version 11, Broadband Internet connection, 3 GB available space
Lobotomy Corporation | Monster Management Simulation,465,Very Positive,615,ProjectMoon,"Indie, Simulation",,['Windows8'], Intel(R) Core(TM) i5-3570, 8 GB RAM, GeForce GTX 550 ti, Version 9.0c,, 6 GB available space
Smalland: Survive the Wilds,880,Very Positive,1972,Merge Games,"Action, Adventure, Indie, RPG, Early Access",,['Windows7'], Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz, 8 GB RAM, NVIDIA GeForce GTX 1650, Version 12, Broadband Internet connection, 20 GB available space
Crysis 3 Remastered,649,Very Positive,166,"Crytek, Saber Interactive",Action,,['Windows10'], Intel(R) Core(TM) i5-3470, 8 GB RAM, NVIDIA GeForce GTX 1060, Version 11,, 18 GB available space
Euro Truck Simulator 2 - Iberia,849,Mixed,24,SCS Software,"Indie, Simulation",,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
Hearts of Iron IV,1300,Very Positive,3007,Paradox Development Studio,"Simulation, Strategy",83,"['Windows7', 'Windows8', 'Windows10']", Intel® Core™ i5 750 | AMD® FX 4300, 4 GB RAM, Nvidia® GeForce™ GTX 470 (1.28GB) | AMD® HD 5850 (1GB) | Intel Iris Xe G7 (Tiger Lake) | AMD® Radeon™ RX Vega 11 | Steam Deck, Version 9.0c,, 2 GB available space
Factorio,1200,Overwhelmingly Positive,1184,Wube Software LTD.,"Casual, Indie, Simulation, Strategy",90,['Windows10'], Dual core 3Ghz+, 4 GB RAM," DirectX 10.1 capable GPU with 512 MB VRAM - GeForce GTX 260, Radeon HD 4850", Version 11,, 3 GB available space
Euro Truck Simulator 2 - Beyond the Baltic Sea,849,Mostly Positive,18,SCS Software,"Indie, Simulation",,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
War Thunder,0,Mostly Positive,11270,Gaijin Entertainment,"Action, Free to Play, Massively Multiplayer, Simulation",81,"['Windows7', 'Windows8', 'Windows10']", Dual-Core 2.2 GHz, 4 GB RAM," DirectX 10.1 level video card: AMD Radeon 77XX , NVIDIA GeForce GTX 660. The minimum supported resolution for the game is 720p.", Version 11, Broadband Internet connection, 17 GB available space
SCUM,980,Mixed,763,Gamepires,"Action, Adventure, Indie, Massively Multiplayer, Early Access",,['Windows10']," Intel Core i5-4430 , AMD FX-6300", 16 GB RAM," NVIDIA GeForce GTX 1060 3GB , AMD Radeon RX 480 4GB", Version 11, Broadband Internet connection, 70 GB available space
Crysis 2 Remastered,649,Very Positive,188,"Crytek, Saber Interactive",Action,,['Windows10'], Intel(R) Core(TM) i5-3470, 8 GB RAM, NVIDIA GeForce GTX 1060, Version 11,, 54 GB available space
Albion Online,0,Mostly Positive,1579,Sandbox Interactive GmbH,"Free to Play, Massively Multiplayer, RPG",72,['Windows7']," Intel,AMD CPU with SSE2", 4 GB RAM, Graphics card with DirectX 10 support, Version 10, Broadband Internet connection, 2 GB available space
Contraband Police,710,Very Positive,4197,Crazy Rocks,"Action, Adventure, Simulation",75,['Windows10'], Intel Core i5-6600 @ 3.3 GHz, 12 GB RAM, NVIDIA GeForce GTX 1050, Version 11,, 12 GB available space
NARAKA: BLADEPOINT,1199,Mixed,3452,24 Entertainment,"Action, Adventure, Massively Multiplayer",,['Windows7'], Intel i5 4th generation, 8 GB RAM, NVIDIA GeForce GTX 750TI, Version 11, Broadband Internet connection, 35 GB available space
Mortal Shell,649,Mixed,199,Cold Symmetry,"Action, RPG",,['Windows7'], Intel Core i5-4590, 8 GB RAM, NVIDIA GTX 970,,, 12 GB available space
Don't Starve Together,349,Very Positive,3498,Klei Entertainment,"Adventure, Indie, Simulation",83,"['WindowsVista', 'Windows7', 'Windows8']", 1.7+ GHz, 1 GB RAM, Radeon HD5450, Version 9.0c, Broadband Internet connection, 3 GB available space
The Binding of Isaac: Rebirth,449,Overwhelmingly Positive,3508,"Nicalis, Inc., Edmund McMillen",Action,,[], Core 2 Duo, 2 GB RAM, Discreet video card,,, 449 MB available space
Euro Truck Simulator 2 - Scandinavia,849,Mostly Positive,22,SCS Software,"Indie, Simulation",,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
Stellaris,1300,Very Positive,1346,Paradox Development Studio,"Simulation, Strategy",78,['Windows7'], Intel® iCore™ i3-530, 4 GB RAM, Nvidia® GeForce™ GTX 460, Version 9.0c, Broadband Internet connection, 10 GB available space
Ready or Not,1299,Very Positive,2219,VOID Interactive,"Action, Adventure, Indie, Early Access",,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i5-4430 , AMD FX-6300", 8 GB RAM," NVIDIA GeForce GTX 960 2GB , AMD Radeon R7 370 2GB", Version 11,, 90 GB available space
"Warhammer 40,000: Darktide",2749,Mixed,1573,Fatshark,"Action, Adventure, Indie",,['Windows10'], Intel i5-6600 (3.30GHz) OR AMD Ryzen 2400G (3.6 GHz), 8 GB RAM, NVIDIA GeForce GTX 970 OR AMD Radeon RX 570, Version 12, Broadband Internet connection, 50 GB available space
Slime Rancher 2,515,Overwhelmingly Positive,681,Monomi Park,"Action, Adventure, Casual, Indie, Simulation, Early Access",,['Windows10']," Intel Core i5-2500K , AMD FX-6300", 8 GB RAM," NVIDIA GeForce GTX 960 2GB , AMD Radeon R9 280 3GB", Version 11,, 8 GB available space
ARK: Survival Evolved,435,Mostly Positive,5488,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Action, Adventure, Indie, Massively Multiplayer, RPG",70,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i5-2400,AMD FX-8320", 8 GB RAM," NVIDIA GTX 670 2GB,AMD Radeon HD 7870 2GB", Version 10,, 60 GB available space
Pizza Tower,419,Overwhelmingly Positive,7946,Tour De Pizza,"Action, Indie",,['Windows7'], Intel, 512 MB RAM, GeForce GT 1030 (2 GB), Version 11,, 300 MB available space
Crysis Remastered,515,Mostly Positive,369,Crytek,Action,,['Windows10']," Intel(R) Core(TM) i5-3450 , AMD Ryzen 3", 8 GB RAM," NVIDIA GeForce GTX 1050 TI ,AMD Radeon 470",, Broadband Internet connection, 20 GB available space
Dead Cells,499,Overwhelmingly Positive,2992,Motion Twin,"Action, Adventure, Indie",89,['Windows7'], Intel i5+, 2 GB RAM," Nvidia 450 GTS , Radeon HD 5750",,, 500 MB available space
UNDECEMBER,0,Mixed,414,Needs Games,"Action, Free to Play, RPG",,['Windows7'], intel Core i5-4430, 8 GB RAM, nVidia GeForce GTX 960 2GB, Version 11, Broadband Internet connection, 20 GB available space
Grim Dawn,500,Very Positive,901,Crate Entertainment,"Action, Adventure, Indie, RPG",83,"['WindowsXP', 'WindowsVista', 'Windows7', 'Windows8', 'Windows10']", x86 compatible 2.3GHz, 2 GB RAM, 512MB NVIDIA GeForce 6800 series, Version 9.0c, Broadband Internet connection, 5 GB available space
Goat Simulator,259,Very Positive,362,Coffee Stain Studios,"Casual, Indie, Simulation",62,['WindowsVista'], 2.0 GHz Dual Core Processor, 2 GB RAM," Shader Model 3.0, 256 MB VRAM", Version 9.0c,, 2 GB available space
Space Engineers,835,Very Positive,78616,Keen Software House,"Action, Indie, Simulation, Strategy",,['Windows10'], Intel i5 @ 3.0 GHz, 8 GB RAM," Geforce 750,Radeon R9 270X", Version 11,, 35 GB available space
Thief Simulator - Luxury Houses DLC,280,Positive,21,"Noble Muffins, Console Labs S.A.","Action, Adventure, Indie, Simulation",,['Windows7'], Intel Core i5, 8 MB RAM, NVidia GeForce GTX 750, Version 10,, 5 MB available space
Stardew Valley,299,Overwhelmingly Positive,7714,ConcernedApe,"Indie, RPG, Simulation",89,['WindowsVista'], 2 Ghz, 2 GB RAM," 256 mb video memory, shader model 3.0+", Version 10,, 500 MB available space
Foxhole,515,Mostly Positive,550,Siege Camp,"Action, Indie, Massively Multiplayer, RPG, Strategy",,['Windows7'], Dual-Core 64-bit Intel, 4 GB RAM, 1 GB DirectX 11 compatible video card,, Broadband Internet connection, 15 GB available space
V Rising,435,Very Positive,1088,Stunlock Studios,"Action, Adventure, Massively Multiplayer, Early Access",,['Windows10']," Intel Core i5-6600, 3.3 GHz", 12 GB RAM," NVIDIA GeForce GTX 750 Ti, 2 GB", Version 11, Broadband Internet connection, 7 GB available space
Slime Rancher,419,Overwhelmingly Positive,1239,Monomi Park,"Action, Adventure, Indie, Simulation",81,['Windows7'], 2.2GHz Dual Core, 4 GB RAM, 512MB VRAM, Version 11,, 1 GB available space
Barotrauma,1100,Very Positive,1879,"FakeFish, Undertow Games","Action, Indie, Simulation, Strategy",81,"['Windows7', 'Windows8', 'Windows10']", Dual Core 2.4 GHz, 4 GB RAM, 2 GB memory (dedicated VRAM, Version 11, Broadband Internet connection, 1 GB available space
Crusader Kings III: Legacy of Persia,0,No user reviews,,Paradox Development Studio,"RPG, Simulation, Strategy",,"['Windows8', 'Windows10']"," Intel® Core™ i3-2120 , AMD® FX 6350", 6 GB RAM," Nvidia® GeForce™ GTX 660 (2GB) , AMD® Radeon™ HD 7870 (2GB) , Intel® Iris Pro™ 580 , Intel® Iris® Plus G7 , AMD® Radeon™ Vega 11",,, 8 GB available space
Project Zomboid,710,Very Positive,7387,The Indie Stone,"Indie, RPG, Simulation, Early Access",,['Windows10'], Intel 2.77GHz Quad-core, 8Gb Ram,,,,
Satisfactory,599,Overwhelmingly Positive,2679,Coffee Stain Studios,"Adventure, Indie, Simulation, Strategy, Early Access",,['Windows10'], i5-3570 3.4 GHz 4 Core, 8 GB RAM," Dedicated graphics card, GTX 770 2GB",,, 15 GB available space
Darkest Dungeon®: The Crimson Court,385,Mixed,18,Red Hook Studios,"Indie, RPG, Strategy",82,['Windows7'],,, Open GL 3.2+ Compliant,,, 1 GB available space
WorldBox - God Simulator,710,Overwhelmingly Positive,1821,Maxim Karpenko,"Indie, Simulation, Early Access",,['Windows10'], 2.0 Ghz, 2.5 GB RAM," 128mb Video Memory, capable of Shader Model 2.0+", Version 9.0c,, 300 MB available space
Will To Live Online,0,Mixed,229,AlphaSoft LLC,"Action, Free to Play, Indie, Massively Multiplayer, RPG, Early Access",,['Windows7'], Intel Core i3 3100 MHz, 12 GB RAM," GeForce GTX 1050 Ti , AMD R9 280", Version 11, Broadband Internet connection, 45 GB available space
Oxygen,550,Positive,34,Turquoise Revival Games,"Indie, Simulation, Strategy",,"['Windows7', 'Windows8', 'Windows10']", Intel Core i3-6100T | AMD FX-6100, 4 GB RAM, NVIDIA GeForce GTX 650 | AMD Radeon R7-250X,,, 600 MB available space
Divinity: Original Sin 2 - Definitive Edition,799,Very Positive,1356,Larian Studios,"Adventure, RPG, Strategy",93,"['Windows7', 'Windows8', 'Windows10']", Intel Core i5, 4 GB RAM, NVIDIA® GeForce® GTX 550, Version 11,, 60 GB available space
Risk of Rain 2,799,Overwhelmingly Positive,1943,Hopoo Games,"Action, Indie",85,['Windows7']," Intel Core i3-6100 , AMD FX-8350", 4 GB RAM," GTX 580 , AMD HD 7870", Version 11, Broadband Internet connection, 4 GB available space
Pummel Party,360,Very Positive,425,Rebuilt Games,"Action, Casual, Indie",,['Windows7'], Dual Core 2.4Ghz, 3 GB RAM," GeForce 8800 GT , AMD HD 6850 , Intel HD Graphics 4400", Version 11, Broadband Internet connection, 1 GB available space
Operation: Tango,435,Mostly Positive,91,Clever Plays,"Adventure, Casual",,[], Quad-core CPU, 8 GB RAM, NVIDIA GeForce GTX 1050,, Broadband Internet connection, 3 GB available space
Super Meat Boy,299,Very Positive,366,Team Meat,Indie,87,"['WindowsXP', 'WindowsVista', 'Windows7', 'Windows8']", 1.4GHz, 1 GB RAM ," Graphics Card made within the last 4 years (Pixel Shader 3.0, Vertex Shader 3.0)",,,
Ghost Watchers,299,Very Positive,368,Renderise,"Adventure, Early Access",,['Windows10'], Intel i5, 4 GB RAM, 2 GB Video RAM, Version 10,, 8 GB available space
Arma 3,1199,Very Positive,155557,Bohemia Interactive,"Action, Simulation, Strategy",74,,,,,,,
DUSK,420,Very Positive,173,David Szymanski,"Action, Indie",88,['Windows7'], 2.4GHZ Dual Core Processor Or Higher, 2 GB RAM, GeForce 9800GT Or Equivalent, Version 9.0, Broadband Internet connection, 2 GB available space
Euro Truck Simulator 2 - Road to the Black Sea,849,Mostly Positive,29,SCS Software,"Indie, Simulation",,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
Call of Cthulhu®,799,Mostly Positive,77,Cyanide Studio,"Adventure, RPG",,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i5-3450 (3.1 GHz),AMD FX-6300 (3.5 GHz)", 8 GB RAM," 2 GB, GeForce GTX 660,Radeon HD 7870",,, 13 GB available space
Cities: Skylines,1100,Very Positive,2641,Colossal Order Ltd.,"Simulation, Strategy",85,"['Windows7', 'Windows8', 'Windows10']", Intel® Core™ I7 930  |  AMD® FX 6350, 8 GB RAM, Nvidia® GeForce™ GTS 450 (1 GB) |  AMD® R7 250 (2 GB)  |  Intel Iris Xe G7 (Tiger Lake), Version 9.0c, Broadband Internet connection, 4 GB available space
RimWorld - Biotech,649,Very Positive,40,Ludeon Studios,"Indie, Simulation, Strategy",,['Windows7'], Core 2 Duo, 4 GB RAM, Intel HD Graphics 4000,,, 500 MB available space
CarX Drift Racing Online,769,Overwhelmingly Positive,1463,"CarX Technologies, LLC","Massively Multiplayer, Racing, Simulation, Sports",,['Windows7'], Intel i5 4590, 4 GB RAM," 2 GB (GeForce 950GT , AMD R9 270)", Version 11, Broadband Internet connection, 6 GB available space
Medieval Dynasty,1499,Very Positive,280,Render Cube,"Action, Adventure, RPG, Simulation",73,['Windows7'], 3 GHz Quad Core Processor, 8 GB RAM," DirectX 11 compatible GPU, 4GB dedicated VRAM (GeForce GTX 970 , Radeon RX 480)", Version 11, Broadband Internet connection, 10 GB available space
Warhammer: Vermintide 2,1499,Very Positive,602,Fatshark,"Action, Indie",82,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i5-2300 @ 2.80 GHz , AMD FX-4350 @ 4.2 GHz", 6 GB RAM, NVIDIA GeForce GTX 460, Version 11, Broadband Internet connection, 105 GB available space
The Ascent,1499,Mixed,192,Neon Giant,"Action, Adventure, Indie, RPG",,['Windows10'], Intel Core Intel Core i5-3470 (4 * 3200), 8 GB RAM," GeForce GTX 660 ( 2048 MB) , Radeon R9 390X (8192 MB)",,, 35 GB available space
